igrac1,igrac2,bodovi1,bodovi2,ideZa,igraoPrvi
randomdraw@localhost,throwbigatend@localhost,30,60,1,randomdraw@localhost
,,,,,
,,,,,
throwbigatendtakeall@localhost,randomdraw@localhost,80,70,1,throwbigatendtakeall@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,40,50,1,throwbigatendtakeall@localhost
throwbigatstarttakeall@localhost,throwbigatstart@localhost,30,60,1,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatstart@localhost,90,0,2,randomdraw@localhost
throwbigatend@localhost,throwbigatstarttakeall@localhost,20,70,1,throwbigatend@localhost
throwbigatstarttakeall@localhost,throwbigatstart@localhost,30,60,1,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatstart@localhost,10,80,1,throwbigatstart@localhost
throwbigatend@localhost,throwbigatstarttakeall@localhost,70,20,1,throwbigatend@localhost
throwbigatstart@localhost,randomdraw@localhost,70,20,1,throwbigatstart@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,60,30,1,randomdraw@localhost
randomdraw@localhost,throwbigatstart@localhost,50,40,1,throwbigatstart@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,20,70,1,throwbigatendtakeall@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,70,20,1,randomdraw@localhost
throwbigatendtakeall@localhost,throwbigatstart@localhost,60,30,1,throwbigatendtakeall@localhost
throwbigatendtakeall@localhost,throwbigatstart@localhost,60,30,1,throwbigatendtakeall@localhost
throwbigatendtakeall@localhost,throwbigatstarttakeall@localhost,40,50,1,throwbigatstarttakeall@localhost
throwbigatstarttakeall@localhost,throwbigatendtakeall@localhost,30,60,1,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatend@localhost,0,90,2,throwbigatend@localhost
randomdraw@localhost,throwbigatend@localhost,40,50,1,throwbigatend@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,50,40,1,throwbigatend@localhost
randomdraw@localhost,throwbigatendtakeall@localhost,40,50,1,randomdraw@localhost
randomdraw@localhost,throwbigatendtakeall@localhost,60,30,1,randomdraw@localhost
randomdraw@localhost,throwbigatstarttakeall@localhost,20,70,1,throwbigatstarttakeall@localhost
throwbigatstart@localhost,throwbigatend@localhost,90,0,2,throwbigatstart@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,40,50,1,throwbigatend@localhost
throwbigatendtakeall@localhost,throwbigatend@localhost,20,70,1,throwbigatendtakeall@localhost
randomdraw@localhost,throwbigatendtakeall@localhost,50,40,1,randomdraw@localhost
throwbigatend@localhost,throwbigatstarttakeall@localhost,10,80,1,throwbigatstarttakeall@localhost
throwbigatstarttakeall@localhost,throwbigatstart@localhost,40,50,1,throwbigatstarttakeall@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,40,50,1,throwbigatendtakeall@localhost
throwbigatend@localhost,throwbigatstart@localhost,40,50,1,throwbigatend@localhost
throwbigatendtakeall@localhost,throwbigatend@localhost,30,60,1,throwbigatend@localhost
throwbigatend@localhost,throwbigatstart@localhost,10,80,1,throwbigatend@localhost
throwbigatstarttakeall@localhost,randomdraw@localhost,40,50,1,randomdraw@localhost
randomdraw@localhost,and,40,50,1,randomdraw@localhost
throwbigatstart@localhost,randomdraw@localhost,80,10,1,throwbigatstart@localhost
throwbigatstart@localhost,throwbigatstarttakeall@localhost,70,20,1,throwbigatstarttakeall@localhost
throwbigatendtakeall@localhost,throwbigatstarttakeall@localhost,60,30,1,throwbigatendtakeall@localhost
randomdraw@localhost,throwbigatend@localhost,20,70,1,throwbigatend@localhost
